Temps_s,T1,T2,T3,T3_est,R1,R2,R3,PWM,Watts
18.6,57.1,65.11,59.86,59.65,7076.88,2032.93,2444.5,0.0,0.0
18.6,57.09,65.1,59.86,59.65,7077.19,2033.59,2445.21,0.0,0.0
18.61,57.12,65.11,59.85,59.65,7076.25,2033.15,2446.15,0.0,0.0
18.61,57.12,65.11,59.84,59.65,7075.94,2032.71,2446.85,0.0,0.0
18.61,57.1,65.13,59.85,59.65,7076.88,2031.39,2445.44,0.0,0.0
18.61,57.1,65.11,59.85,59.66,7076.88,2032.49,2446.15,0.0,0.0
18.61,57.1,65.08,59.84,59.66,7076.88,2034.69,2446.38,0.0,0.0
18.61,57.15,65.11,59.85,59.66,7075.31,2032.71,2445.91,0.0,0.0
18.61,57.12,65.08,59.85,59.66,7076.57,2034.69,2446.15,0.0,0.0
18.61,57.12,65.08,59.84,59.66,7076.57,2034.91,2447.09,0.0,0.0
18.62,57.12,65.08,59.83,59.66,7076.25,2034.91,2447.56,0.0,0.0
18.63,57.12,65.08,59.83,59.67,7076.25,2034.69,2447.56,0.0,0.0
18.75,25.38,25.68,25.27,25.27,9825.33,9698.84,9880.06,0.0,0.0
18.89,25.4,25.7,25.26,25.27,9821.04,9691.14,9880.66,0.0,0.0
18.93,25.42,25.7,25.26,25.27,9818.4,9689.36,9880.66,0.0,0.0
19.05,25.41,25.71,25.26,25.27,9819.06,9684.63,9880.66,0.0,0.0
19.15,25.41,25.76,25.26,25.27,9817.41,9665.12,9881.27,0.0,0.0
19.27,25.42,25.78,25.26,25.27,9814.77,9653.9,9880.66,0.0,0.0
19.34,25.44,25.79,25.26,25.27,9813.79,9651.54,9880.66,0.0,0.0
19.44,25.46,25.8,25.26,25.27,9811.15,9647.42,9880.66,0.0,0.0
19.56,25.44,25.84,25.27,25.27,9812.8,9629.16,9880.06,0.0,0.0
19.66,25.46,25.86,25.26,25.27,9809.5,9619.16,9881.87,0.0,0.0
19.77,25.47,25.88,25.26,25.27,9807.19,9613.29,9882.47,0.0,0.0
19.85,25.5,25.93,25.26,25.27,9802.9,9591.57,9881.87,0.0,0.0
19.96,25.51,25.95,25.26,25.27,9799.6,9583.37,9881.27,0.0,0.0
20.05,25.53,25.97,25.26,25.27,9796.97,9575.76,9882.47,0.0,0.0
20.13,25.54,25.97,25.26,25.27,9794.66,9574.01,9882.47,0.0,0.0
20.24,25.54,26.02,25.26,25.27,9792.68,9553.55,9881.87,0.0,0.0
20.34,25.56,26.05,25.25,25.27,9790.04,9539.55,9885.49,0.0,0.0
20.44,25.57,26.05,25.26,25.28,9788.07,9537.8,9881.87,0.0,0.0
20.55,25.59,26.11,25.26,25.28,9784.44,9515.09,9882.47,0.0,0.0
20.68,25.6,26.13,25.26,25.28,9781.47,9505.79,9883.68,0.0,0.0
20.74,25.65,26.14,25.26,25.28,9774.88,9501.72,9882.47,0.0,0.0
20.88,25.66,26.18,25.26,25.28,9772.58,9484.9,9883.08,0.0,0.0
20.94,25.66,26.22,25.26,25.28,9772.58,9469.26,9884.29,0.0,0.0
21.04,25.66,26.23,25.26,25.28,9770.93,9464.63,9883.68,0.0,0.0
21.14,25.7,26.26,25.26,25.28,9766.97,9450.17,9883.08,0.0,0.0
21.26,25.71,26.3,25.26,25.29,9763.68,9433.44,9882.47,0.0,0.0
21.37,25.73,26.31,25.26,25.29,9758.08,9427.67,9883.08,0.0,0.0
21.47,25.77,26.34,25.27,25.29,9752.48,9415.58,9880.06,0.0,0.0
21.56,25.78,26.39,25.26,25.29,9751.49,9396.6,9882.47,0.0,0.0
21.64,25.78,26.4,25.26,25.29,9749.51,9390.86,9881.87,0.0,0.0
21.74,25.8,26.44,25.26,25.3,9747.87,9376.51,9881.27,0.0,0.0
21.83,25.82,26.48,25.26,25.3,9742.92,9357.04,9881.87,0.0,0.0
21.95,25.83,26.49,25.26,25.3,9740.29,9353.04,9880.66,0.0,0.0
22.03,25.88,26.53,25.26,25.3,9733.04,9337.04,9880.66,0.0,0.0
22.17,25.89,26.57,25.26,25.31,9728.76,9322.78,9880.66,0.0,0.0
