Temps_s,T1,T2,T3,T3_est,R1,R2,R3,PWM,Watts
127.47,26.73,27.53,27.44,27.32,9581.44,8931.83,8966.91,0.0,0.0
127.47,26.74,27.53,27.44,27.32,9581.12,8932.38,8966.91,0.0,0.0
127.47,26.73,27.53,27.44,27.32,9582.1,8930.74,8968.01,0.0,0.0
127.48,26.73,27.52,27.43,27.32,9581.77,8936.76,8971.86,0.0,0.0
127.48,26.73,27.52,27.44,27.32,9581.77,8936.76,8968.56,0.0,0.0
127.48,26.73,27.52,27.44,27.32,9582.1,8934.02,8968.56,0.0,0.0
127.48,26.72,27.52,27.43,27.32,9583.09,8934.57,8971.86,0.0,0.0
127.48,26.72,27.52,27.44,27.31,9582.76,8935.66,8966.91,0.0,0.0
127.48,26.72,27.51,27.42,27.31,9583.09,8938.4,8973.51,0.0,0.0
127.62,24.48,24.39,24.23,24.23,10003.75,10279.1,10353.5,0.0,0.0
127.73,24.49,24.39,24.23,24.23,10005.41,10277.84,10351.6,0.0,0.0
127.81,24.48,24.38,24.23,24.23,10003.75,10280.98,10352.87,0.0,0.0
127.9,24.49,24.39,24.23,24.23,10004.09,10278.47,10352.24,0.0,0.0
128.01,24.48,24.39,24.23,24.23,10004.75,10277.84,10353.5,0.0,0.0
128.1,24.48,24.39,24.23,24.23,10003.42,10275.33,10352.87,0.0,0.0
128.21,24.49,24.39,24.23,24.23,10003.09,10278.47,10353.5,0.0,0.0
128.32,24.48,24.39,24.23,24.23,10003.75,10276.59,10353.5,0.0,0.0
128.42,24.49,24.38,24.23,24.23,10004.09,10280.35,10352.87,0.0,0.0
128.51,24.48,24.38,24.23,24.23,10005.08,10279.73,10352.87,0.0,0.0
128.61,24.48,24.38,24.23,24.23,10003.42,10280.35,10353.5,0.0,0.0
128.72,24.48,24.38,24.22,24.23,10004.42,10280.98,10354.13,0.0,0.0
128.81,24.48,24.38,24.22,24.23,10004.75,10280.35,10354.13,0.0,0.0
128.93,24.48,24.38,24.23,24.23,10004.75,10280.35,10353.5,0.0,0.0
129.03,24.49,24.39,24.22,24.23,10003.09,10278.47,10354.13,0.0,0.0
129.1,24.48,24.39,24.22,24.23,10004.42,10279.1,10354.13,0.0,0.0
129.22,24.49,24.38,24.23,24.23,10005.41,10280.98,10353.5,0.0,0.0
129.31,24.48,24.39,24.23,24.23,10004.42,10278.47,10352.87,0.0,0.0
129.41,24.48,24.38,24.22,24.23,10004.42,10280.35,10354.77,0.0,0.0
129.52,24.48,24.38,24.23,24.23,10006.07,10279.73,10352.24,0.0,0.0
129.61,24.48,24.39,24.22,24.23,10004.75,10275.96,10354.13,0.0,0.0
129.71,24.48,24.39,24.23,24.23,10004.42,10278.47,10353.5,0.0,0.0
129.8,24.48,24.38,24.22,24.23,10004.42,10281.61,10354.77,0.0,0.0
129.93,24.49,24.39,24.23,24.23,10003.09,10277.84,10353.5,0.0,0.0
130.04,24.48,24.38,24.23,24.23,10004.42,10280.98,10352.87,0.0,0.0
130.1,24.48,24.38,24.22,24.23,10004.75,10279.73,10354.13,0.0,0.0
130.23,24.48,24.38,24.22,24.23,10003.42,10280.98,10354.13,0.0,0.0
130.32,24.49,24.38,24.22,24.22,10004.09,10280.35,10354.13,0.0,0.0
130.45,24.49,24.39,24.22,24.22,10003.09,10278.47,10354.13,0.0,0.0
130.52,24.48,24.39,24.23,24.22,10003.42,10277.21,10353.5,0.0,0.0
130.63,24.47,24.39,24.22,24.22,10005.74,10277.84,10355.4,0.0,0.0
130.73,24.48,24.39,24.22,24.22,10004.42,10277.21,10354.13,0.0,0.0
130.8,24.48,24.38,24.22,24.22,10004.75,10280.98,10355.4,0.0,0.0
130.94,24.47,24.38,24.23,24.22,10005.74,10280.35,10353.5,0.0,0.0
131.04,24.48,24.4,24.23,24.22,10004.42,10274.7,10352.87,0.0,0.0
131.15,24.49,24.39,24.23,24.22,10004.09,10277.21,10353.5,0.0,0.0
131.22,24.47,24.39,24.22,24.22,10005.74,10279.1,10354.13,0.0,0.0
131.31,24.47,24.39,24.23,24.22,10005.74,10278.47,10353.5,0.0,0.0
131.42,24.48,24.39,24.23,24.22,10005.08,10278.47,10353.5,0.0,0.0
131.52,24.48,24.38,24.23,24.22,10006.07,10279.73,10353.5,0.0,0.0
131.62,24.49,24.38,24.23,24.22,10003.09,10279.73,10353.5,0.0,0.0
131.7,24.48,24.39,24.23,24.22,10004.42,10275.96,10350.34,0.0,0.0
131.8,24.48,24.39,24.22,24.22,10004.42,10276.59,10354.13,0.0,0.0
131.89,24.49,24.39,24.22,24.22,10005.41,10275.96,10354.77,0.0,0.0
132.0,24.48,24.39,24.22,24.22,10003.75,10275.33,10354.13,0.0,0.0
132.1,24.48,24.39,24.23,24.22,10004.75,10275.96,10353.5,0.0,0.0
132.22,24.49,24.4,24.23,24.22,10005.41,10274.7,10350.97,0.0,0.0
132.33,24.47,24.39,24.23,24.22,10005.74,10275.33,10352.24,0.0,0.0
132.42,24.48,24.39,24.23,24.22,10003.42,10275.33,10353.5,0.0,0.0
132.55,24.49,24.4,24.23,24.22,10004.09,10274.07,10352.87,0.0,0.0
132.61,24.48,24.4,24.23,24.22,10004.42,10273.45,10353.5,0.0,0.0
132.71,24.48,24.4,24.23,24.22,10003.42,10274.07,10352.24,0.0,0.0
132.83,24.48,24.4,24.22,24.22,10003.75,10274.07,10354.13,0.0,0.0
132.93,24.5,24.4,24.23,24.22,10002.76,10274.7,10352.87,0.0,0.0
133.03,24.48,24.4,24.23,24.22,10004.75,10272.19,10352.87,0.0,0.0
133.12,24.49,24.4,24.23,24.22,10002.1,10271.56,10353.5,0.0,0.0
133.21,24.49,24.42,24.22,24.22,10003.09,10264.66,10354.13,0.0,0.0
133.34,24.49,24.43,24.22,24.22,10002.43,10258.39,10354.13,0.0,0.0
133.43,24.49,24.45,24.23,24.22,10001.77,10248.99,10353.5,0.0,0.0
133.53,24.49,24.46,24.23,24.22,10002.1,10244.6,10353.5,0.0,0.0
133.62,24.49,24.47,24.23,24.22,10003.09,10242.1,10353.5,0.0,0.0
133.71,24.49,24.47,24.22,24.22,10002.43,10242.1,10354.77,0.0,0.0
133.83,24.49,24.47,24.22,24.22,10002.1,10240.22,10354.77,0.0,0.0
133.93,24.51,24.47,24.22,24.22,10001.44,10238.97,10354.13,0.0,0.0
134.01,24.51,24.48,24.23,24.22,9998.13,10234.59,10352.87,0.0,0.0
134.11,24.49,24.48,24.23,24.22,10002.43,10234.59,10353.5,0.0,0.0
134.2,24.51,24.48,24.22,24.22,9999.45,10234.59,10354.77,0.0,0.0
134.33,24.5,24.48,24.22,24.22,10001.11,10233.97,10354.13,0.0,0.0
134.42,24.5,24.48,24.23,24.23,9999.12,10234.59,10353.5,0.0,0.0
134.52,24.52,24.49,24.22,24.23,9997.13,10232.72,10354.13,0.0,0.0
134.63,24.53,24.5,24.22,24.23,9996.14,10224.59,10354.13,0.0,0.0
134.74,24.53,24.53,24.22,24.23,9996.47,10213.97,10354.77,0.0,0.0
134.8,24.53,24.55,24.22,24.23,9995.81,10205.24,10354.77,0.0,0.0
134.91,24.53,24.55,24.22,24.23,9992.83,10202.75,10354.13,0.0,0.0
135.02,24.55,24.56,24.22,24.23,9993.17,10200.87,10354.77,0.0,0.0
135.11,24.54,24.56,24.22,24.23,9992.17,10198.38,10354.77,0.0,0.0
135.21,24.55,24.57,24.23,24.23,9993.17,10194.02,10352.87,0.0,0.0
135.32,24.55,24.57,24.22,24.23,9989.86,10194.02,10354.77,0.0,0.0
135.41,24.57,24.57,24.22,24.23,9986.55,10193.4,10354.77,0.0,0.0
135.51,24.57,24.59,24.22,24.23,9985.89,10186.55,10354.77,0.0,0.0
135.65,24.57,24.62,24.22,24.23,9986.88,10171.62,10354.77,0.0,0.0
135.73,24.57,24.63,24.22,24.23,9985.89,10167.27,10355.4,0.0,0.0
135.82,24.58,24.63,24.22,24.23,9985.22,10167.89,10354.77,0.0,0.0
